A,B,C,D
1.0,4.0,24.18999999344349,76.13999999642373
2.0,6.0,25.10999999523163,90.21999999463559
3.0,12.0,26.089999999403954,132.12000000059604
4.0,37.0,27.089999999403954,307.23
5.0,29.0,27.989999999776483,251.35999999523162
6.0,33.0,29.089999999403954,279.26999999165537
7.0,22.0,29.999999999552966,202.15000000178813
8.0,33.0,31.18999999344349,279.08000000149013
9.0,4.0,32.10999999523163,76.13000000596047
10.0,9.0,33.009999999329445,111.13000000596047
11.0,27.0,34.26999999165535,237.15000000178813
12.0,0.0,35.08000000149011,48.36999998569488
13.0,3.0,36.23,69.08000000149012
14.0,4.0,37.36999998569488,76.0999999973178
15.0,39.0,38.21999999463558,321.3699999856949
16.0,29.0,39.05000000029802,251.10999999523162
17.0,25.0,40.36999998569488,223.29999999284743
18.0,10.0,41.01999999910593,118.32999999403954
19.0,33.0,42.36999998569488,279.31000001311304
20.0,3.0,42.99999999955296,69.34000001430512
21.0,27.0,44.01999999910593,237.05999999821185
22.0,24.0,45.35000000476837,215.99999999955295
23.0,25.0,46.29000000238418,223.29000000238418
24.0,21.0,46.98,195.26999999165534
25.0,12.0,48.070000003576276,132.28000001192092
26.0,8.0,49.009999999329445,104.18000000298024
27.0,21.0,50.08000000149011,195.05999999821185
28.0,9.0,51.08000000149011,111.00999999932945
29.0,15.0,51.98999999977648,153.050000000298
30.0,13.0,53.18000000298023,139.310000013113
31.0,34.0,54.070000003576276,286.0700000035763
32.0,6.0,55.109999995231625,90.13000000596047
33.0,5.0,56.35000000476837,83.08000000149012
34.0,18.0,57.359999995231625,174.21000000417231
35.0,27.0,58.160000007152554,237.1699999976158
36.0,10.0,59.01999999910593,118.00999999932945
37.0,16.0,60.08999999940395,160.35999999523162
38.0,19.0,61.03999999865889,181.12000000059604
39.0,16.0,62.150000001788136,160.03999999865889
40.0,0.0,63.32999999403953,48.31000001311302
41.0,10.0,64.18000000298022,118.16999999761582
42.0,28.0,65.23,244.0800000014901
43.0,38.0,66.2600000011921,314.1899999934435
44.0,6.0,67.16000000715256,90.18000000298024
45.0,35.0,68.34000001430512,293.3699999856949
46.0,14.0,69.35999999523163,146.07000000357627
47.0,13.0,70.36999998569489,138.98
48.0,36.0,71.00999999932945,300.26999999165537
49.0,22.0,72.0999999973178,202.28000001192092
50.0,24.0,73.28000001192093,216.08999999940394
51.0,3.0,74.28000001192093,69.13999999642373
52.0,16.0,75.31000001311303,160.23
53.0,30.0,76.23999999046326,258.35999999523165
54.0,19.0,77.31000001311303,180.98
55.0,36.0,78.32000000357628,300.2399999904633
56.0,6.0,79.36999998569489,90.35999999523163
57.0,34.0,80.32000000357628,286.0399999986589
58.0,14.0,81.21000000417233,146.10999999523162
59.0,3.0,82.25000001072884,69.08999999940396
60.0,13.0,82.98999999977649,139.10999999523162
61.0,2.0,84.35999999523163,62.150000001788136
62.0,9.0,85.21999999463559,111.07000000357628
63.0,1.0,86.18000000298024,55.01999999910593
64.0,21.0,87.31000001311303,195.15000000178813
65.0,21.0,88.07000000357628,195.01999999910592
66.0,14.0,89.29999999284745,146.08999999940394
67.0,8.0,90.1899999934435,104.00999999932945
68.0,27.0,90.98999999977649,237.1999999988079
69.0,9.0,92.31000001311303,111.29999999284745
70.0,26.0,93.25000001072884,230.28000001192092
71.0,3.0,94.16000000715256,69.21000000417233
72.0,22.0,95.16000000715256,202.12000000059604
73.0,39.0,95.99999999955297,321.3500000047684
74.0,25.0,96.98,223.3400000143051
75.0,5.0,98.07000000357628,83.26999999165535
76.0,11.0,99.0399999986589,125.03000000074506
77.0,32.0,100.36999998569489,272.0300000007451
78.0,24.0,101.35000000476838,216.03999999865889
79.0,28.0,102.32000000357628,244.1699999976158
80.0,37.0,103.36999998569489,307.1899999934435
81.0,16.0,104.32000000357628,159.99999999955295
82.0,4.0,105.13999999642373,76.35999999523163
83.0,1.0,106.13999999642373,55.23
84.0,32.0,107.08999999940396,272.18000000298025
85.0,29.0,108.01999999910593,251.09999999731778
86.0,24.0,109.26999999165535,216.1699999976158
87.0,22.0,110.0999999973178,202.13000000596045
88.0,20.0,111.25000001072884,188.32000000357627
89.0,28.0,112.13999999642373,244.23999999046325
90.0,13.0,113.31000001311303,139.1699999976158
91.0,3.0,114.23,69.21000000417233
92.0,15.0,116.0,153.310000013113
93.0,16.0,116.31000001311303,160.32000000357627
94.0,35.0,117.00999999932945,293.08000000149013
95.0,31.0,118.19999999880791,264.999999999553
96.0,32.0,119.23999999046326,272.089999999404
97.0,2.0,119.98999999977649,62.35000000476837
98.0,24.0,121.35000000476838,215.98
99.0,24.0,122.12000000059605,216.29999999284743
100.0,20.0,123.1899999934435,188.29000000238418
